"year","doy","hour","solar","temp","rh","windspeed","precip","solardiff"
2002,302,4,0,3.97420654296877,0.86168606254997,6.88861994414791,0.345052083333333,0
2002,302,5,0,4.01364536091111,0.897636515511427,6.88861994414791,0.345052083333333,0
2002,302,6,0,4.12927412447108,0.959859030894686,6.88861994414791,0.345052083333333,0
2002,302,7,4.65906298193318,4.31321292449764,1,6.88861994414791,0.345052083333333,2.80191758288861
2002,302,8,142.820391084621,4.55292663574221,1,6.88861994414791,0.345052083333333,9.77258374966747
2002,302,9,194.608127565629,4.83207916492912,1,6.88861994414791,0.345052083333333,11.264067370613
2002,302,10,216.005790731229,5.13164672851565,0.90599466650202,6.88861994414791,0.345052083333333,11.8366582503314
2002,302,11,225.501849017879,5.43121429210217,0.896350616740494,6.88861994414791,0.345052083333333,12.0842554187179
2002,302,12,228.264074991452,5.71036682128909,0.906667157757377,6.88861994414791,0.345052083333333,12.1555834995269
2002,302,13,225.501849017879,5.95008053253366,0.770550214662422,6.88861994414791,0.345052083333333,12.0842554187179
2002,302,14,216.005790731229,6.13401933256022,0.763123050263953,6.88861994414791,0.345052083333333,11.8366582503314
2002,302,15,194.608127565629,6.24964809612019,0.445357157604195,6.88861994414791,0.345052083333333,11.264067370613
2002,302,16,142.820391084621,6.28908691406252,0.450895480223756,6.88861994414791,0.345052083333333,9.77258374966747
2002,302,17,4.65906298193318,6.24964809612019,0.765997625139714,6.88861994414791,0.345052083333333,2.80191758288861
2002,302,18,0,6.13401933256022,0.767945186626548,6.88861994414791,0.345052083333333,0
2002,302,19,0,5.95008053253366,0.946727851146086,6.88861994414791,0.345052083333333,0
2002,302,20,0,5.71036682128909,0.820682240410733,6.88861994414791,0.345052083333333,0
2002,302,21,0,5.43121429210217,0.831419451863852,6.88861994414791,0.345052083333333,0
2002,302,22,0,5.13164672851565,1,6.88861994414791,0.345052083333333,0
2002,302,23,0,4.83207916492912,1,6.88861994414791,0.345052083333333,0
2002,303,0,0,4.72933349609377,1,3.30680976103807,0.0872614532709122,0
2002,303,1,0,4.29036925759987,0.924633396444665,3.30680976103807,0.0872614532709122,0
2002,303,2,0,3.95354015064587,0.868238479637602,3.30680976103807,0.0872614532709122,0
2002,303,3,0,3.74180052223426,0.869055667394773,3.30680976103807,0.0872614532709122,0
2002,303,4,0,3.66958007812502,1,3.30680976103807,0.0872614532709122,0
2002,303,5,0,3.74180052223426,1,3.30680976103807,0.0872614532709122,0
2002,303,6,0,3.95354015064587,0.63264910085305,3.30680976103807,0.0872614532709122,0
2002,303,7,7.03159493453636,4.29036925759987,0.63141656415721,3.30680976103807,0.0872614532709122,5.07887690589329
